name,distance,moving_time,elapsed_time,total_elevation_gain,type,id,start_date,start_date_local,timezone,utc_offset,map,start_latlng,end_latlng,average_speed,max_speed,elev_high,elev_low,pr_count,distance_miles,moving_time_minutes,moving_time_hours
PMRP : Lode Loop and Drive By Loop,5532.4,1884,1967,124.0,Run,9458318004,2023-07-15T21:24:26Z,2023-07-15T17:24:26Z,(GMT-05:00) America/New_York,-14400.0,"{'id': 'a9458318004', 'summary_polyline': 'aowdFvk}}N@KAEB?L_@Gg@CEOGEDI@ABE?MPAB@FCGFG@MNQLaA?ODk@JKHUDi@Bi@J]CM@_@PYLEBYGI@GU]YKIK?GE?CE@MKMKGI_@ICSY@MMC?EQQAKOCIKIAWa@?EMKGCOk@IG@ICEBEAk@SBAAB@?IGIECEMUCIKKCCIMIGb@GC?XIAA@?NGHFBk@MlAJwAf@d@JBCFB?JCBBBUDJTGDB??@KVB@ED@BCX@FANFGDDK@@BGACVBDAGHBLN@LNVHFAGF\\\\QDB@CB@DHAPDHDADFD?ZLAF@FLDDRJDVX@XRN@FRDJLF?FFLBBLHF?FHPI^?HCRILETQPG@INGDKEUBIIYGOZ@NFLFDDFLFBHDBGXNJLAHNLJ@DLHf@BRMNAHSX?DLAbABN?V@HOP[BACs@d@ORSLQj@o@n@_@d@GVOLG^GHUp@KNUd@M^MXYx@Eh@OTKXMR@HSXMZMl@EHUfB@RARZp@@NHXEDFR@TP^HZBz@GZ?FQT]~@EBMT@HCPGAIHGPOLCv@IX?Tq@tA?VIVA\\ER?`@S~@EH?RCTSfACD?JEF?DY`@AJYh@GHMDARGPAJd@ZAXGLOd@Y\\MDCDQBQCSRI^?RDPTEHn@@D@AABBEBA?DCCBEBFEMKCBAAICIC??GC?D?EABA?F@CEAB?ADB?A@@?ADB@?DaFw@@Gu@JGBECOBOEE@IC?EE?SF]GAI[DKBAESLEAs@b@]GWMG?GKASIQAKKIDGG?QOGMYMDKEEY@KEEMO@ACg@KMKIKEBEIG?EIBOGIGBECAHGAGQQIDQHI?GIOGGDCJR?JD?CDRKA?TSfA?DHJ?d@IBEPEZFRKTAHIBKDEECDG?GGMEEHQEA@GECSC?DEEUCJQJTF@DM@WDKMWAKBCA??BF?@FPDHLBHAFLBLKVFNRBHFCLFL?RJR?RDBFJHFAJHLADBFNP@DHJBVIFFBAHGb@BPCD@?HJCDDFARFJFT@BFHHFDFAV\\FEV@h@b@XBDHF@d@]B@DC\\m@b@aBHq@b@uB?QDCA]FKJkAh@gADOH{@BELc@LWRQ@K`@w@D[Rc@BSBa@FID?XRPZHDRVN?@WCGg@GEIGCQQ?ESIOUGM?MOQGa@?WEI@GGUU}@Ce@Hg@CIDCd@uBFKl@uAB[h@}AFGNe@Ve@LM@KLYBMLSJYBE@KT]F?BCN_@NGHMDOJEJU\\]FANWTMf@EJS', 'resource_state': 2}","[37.644814336672425, -83.71403069235384]","[37.64471283182502, -83.71428340673447]",2.936,10.748,338.3,259.0,0,3.44,31.4,0.52
PMRP : Lode Loop and Sore Heel loop,7940.5,2861,2886,153.7,Run,9446383475,2023-07-13T21:28:17Z,2023-07-13T17:28:17Z,(GMT-05:00) America/New_York,-14400.0,"{'id': 'a9446383475', 'summary_polyline': 'onwdFzl}}NI{@Dw@GSm@FMTBW\\YH]Cm@PY?ULY?OLK@_@KSNk@RUJy@G[Ug@WOYk@q@s@GWQIK_@c@YGS[]Gc@WYKy@I@Ia@SCSQFACNq@o@Ua@O`DXUGBJLMNJHGDDHYP@VWZO\\FHTDOj@@K?Hd@XBXNNXKFBLv@ELPHb@UP@R`@BRNL@Vp@j@TFd@d@Dd@INCb@KVWVWDMT]K[C?VH`@LPCJHBPb@\\F@JRLr@BN[ZEBNHFDpBMP[@{@j@IA[r@s@|@ALm@j@Op@KLG^q@z@Mp@S`@Kp@ONDFAF_@\\EZ@NIXWTU\\_@hBYFe@[UGIESu@QKUDe@KSLk@SKLUBo@EUN]]O_@UFQCAWMUG?EHg@g@SAGCEK_@?Qg@WGe@BGMYEAIQICMUGBKIc@BGi@GIi@IYOIYeAMOSeATe@Ys@G[Es@HO?MDCAc@IIMi@KGEi@IQ@g@L_@A]DMCMFKQk@?OMQHa@E_@S[BKGA@GKQAi@OY?m@K]JkAQCI_@KKAa@IIFEECHWEM]FIAAF_@?MDILE\\[d@g@LYXAPk@FH\\NHDCCE\\RTBf@f@?XGp@Nn@Dh@Qx@QTi@d@WFm@t@E^NNB\\Oh@B^JHb@En@\\f@r@Bb@Gr@z@`AW|AHRpA|@RB\\THP\\TRd@NLGVOHBREDi@KYN{@@[LSMa@FEAUQKJo@ImA~@CLFJVVd@CZl@ZTBH@PRWPC^]AFf@Jr@BXUr@ADE\\?XP^FDGfAEt@d@P^VTNh@?PS\\M?]RQBAGGXZ`AbAv@v@@BGVCf@NbBVh@@|BOfAa@NCRLFNHhBMr@i@NYI]L_@?c@FaAZQ\\fBFHL^@xAd@vBE\\KR[Nu@D_APW?QJITNAh@H`@In@]f@Uf@Mh@i@`AFLQjAO`@k@z@AXHFI^@R_@dAChAGFQz@o@vBMB]`@?h@`@T?XKj@ML@Ns@ZW?GQ`@s@XcADc@`@[RWTm@T_AJeAL]`@gBASFS@mAj@eAb@{BDGN?F[^w@NQBYHEJa@BaAN@P`@t@f@HEQY[Iw@q@Os@KOWuAA_@Q]E[b@qCjAoCNaATWRs@NORu@TW\\eAbBoCPIR_@VONWp@IHO', 'resource_state': 2}","[37.6447225548327, -83.71421199291945]","[37.64474954456091, -83.71427284553647]",2.775,9.488,305.7,259.0,0,4.93,47.68,0.79
PMRP : Lode Loop and Lode Hill,2615.8,843,849,96.5,Run,9059541871,2023-05-12T19:53:27Z,2023-05-12T15:53:27Z,(GMT-05:00) America/New_York,-14400.0,"{'id': 'a9059541871', 'summary_polyline': 'unwdFhj}}NACDG?GOa@M??HE@@EC?EHKHEAAFQHO?AACDWWGACGKIEI?KGBEGICAGCCGACc@KMCMJKNCZDHER@DIFA@IPc@H]FM@KAGFECYIGISUKG@MME?KM]o@@QCOS[KCIKCQCEKF@GG@ADG?CCA??IKO@IBGACe@IIIKAEHS@HQGAHABDCMAJFACIE@CI?DDBIU@SDED@G@MAHGAQJIAIIOFKE]@BBEIIF@CEBF@_@Ek@HCBSGMBCBIFIBTBIPN@IHO@^BE@JNE@ACIIIICL]DEEDL^?PGFNFIE@HCVTALJFABEJAACF?@GBZEBBN@f@R?DD@NHADDDJ?HD@@FJFBNN@@FD?BLVXLJ?HD@DHAHBF^JVl@BDHAJLDNDBD?LPFBADHPETEJSPERKFEHBNCDAPCF@DANCF?FQf@@DMLEP@BEDATDRELBRGV@JY`@K?C@ENCUh@SFBTNF?DZDJ?LNp@DDLADSAS@_@FQX[D[Xc@FQDCHSPSFQj@g@RKD?BEL@RGPAP@\\XZLTAD@l@ENGHA@QGIB_@XSp@OHBNA\\LDB@FAJKDGAII?BBBFBD?FGGMKEO@SEa@AEBWb@MHA^UN?HOAGBGHEACDGAGOMGKDCGYKYCQKKAGFKVCEG?E?EFIKQNEAEXMTE?GFCJG@MXUXGVGDCJE@ARSNGL@TCh@QHCEMC@A', 'resource_state': 2}","[37.64475432224572, -83.71380949392915]","[37.644639406353235, -83.71410939842463]",3.103,7.168,339.3,267.6,0,1.63,14.05,0.23
PMRP : Lode Loop and Flat Holler Loop,9653.3,3349,3385,453.1,Run,9017048707,2023-05-05T18:39:29Z,2023-05-05T14:39:29Z,(GMT-05:00) America/New_York,-14400.0,"{'id': 'a9017048707', 'summary_polyline': 'kowdFvm}}Nu@VuClDm@bBWTMv@MA[p@QhAOPD\\m@r@[tAKE]tCNlA`@f@FlAb@z@b@ZvALfAOl@oEb@MKQ\\[Cm@Pq@h@EPLGh@QLLFQCPPETdAb@FNKFRh@j@IT]GY@k@LWP@JWTJJICNL\\`@_@EHx@ZOWF?Lw@VS\\D?XHBSJb@PDGFTK]\\EKGW^Br@t@Rd@Q\\PB\\T@bAw@[s@N]@e@\\GAQDJHQNXVETRNVr@EPQEZBw@BFBCH_@AJNECLTRIBDODVGOd@R?VOPLTd@q@CWX_@Dm@Qv@ZDOZ\\LTUe@d@KBRRXCWWFIk@Nt@Ne@l@AOVLPQSAYBVBNCJ_@JVm@SDFsA_@dAT@\\TFB`@j@B[Mg@F^FG@DCKCJBQCJRSDBNPESTGLHDIAb@ZCTJAEJ[R@IWCNP?DMd@f@UOc@gAz@N@IB^]ELEGLQW\\zBzDkDu@@MdASM[OJDDW?M]?RJFYI@LOs@Dx@OANwCs@jBIMOFK\\HVSFHTKF@X^Re@Re@HJJQPD`@SFNHRF`@FDHW?EPBLJJUCHPWBd@GYKi@Ru@c@\\NSLGIt@x@e@PZo@KWR@CYsA~BwAeA~FRoBeAc@Th@GHZHSOTGIb@[c@[BLMCDk@]a@OJEPH@SEJQ]@VQSWZg@IGP{@S_@cBEmA\\OS@b@s@GGZa@YMTQCBFYUs@pAg@g@Ml@D|@GTRX?XMb@D^e@bAy@KOiAh@mAKQHa@?WEOROEUT}@\\_@gBEQWs@Gi@Vk@Cq@r@a@YKTg@D_A@YGK[FQnATMFUy@i@]a@MIaA]w@Bu@Uk@@}A`@uBbA{Br@qC`@a@f@oATq@He@UAOXN^GHkAUa@PMIIZw@KaA@c@Ny@KqBcBi@Zc@?GYa@[eAL?WSQCPD]BNKNQSKDEWi@^a@ENGUsAL_@b@^KBD`@?ObAATSQkAVKFPn@@TSYuALDGIJWKDFENR@a@Q}@qAOYO@c@Oc@[FaA{@RE?Ot@`AZ]G_@\\AGIZ^|@]\\_A?SSEARK[]ASYqAUXw@EGTJe@D?ShB@dAnCF~@YrBRTVLFt@R`@IXD\\`@n@Dz@ID?RJVE^BV^\\l@C`@TVZRr@nBnAvE}@vByCt@k@z@QHYGg@', 'resource_state': 2}","[37.64486974105239, -83.71435523964465]","[37.644784580916166, -83.7140276748687]",2.882,14.712,332.0,259.2,1,6.0,55.82,0.93
PMRP : Drive By Loop and Lode Loop,5774.7,1769,1827,131.6,Run,8973585450,2023-04-28T18:23:12Z,2023-04-28T14:23:12Z,(GMT-05:00) America/New_York,-14400.0,"{'id': 'a8973585450', 'summary_polyline': 'anwdFrk}}N?LQh@?CILa@FWf@IAGJkAbAEN?LCFMDCFORCPSFELMFGLEDKXI@CPWr@GZKNKb@ONGZIN@TIL@JKNETQPCN?NGRIRKH[r@Kl@?^VbBFPB\\N`@Hj@Df@@p@CZ[`@ANMRANGR@NG@GLKCG?ENDRY\\KfASf@OTQh@APBD@p@GL[nBOh@EBBFCb@K^KJ?^GNCZSP@L]BMP]fB[v@Wd@APIR?TNHBNAHLf@ACAD@IC@B?@DAABBDb@DD{AcGOIS@c@\\KGI?SJWj@m@v@SH]?c@I_@@MC_@A_@FSICHIAUF@BMFa@B_@KKUME@GCCG@CGKG?MUSCG@GGCAGICEBGIQIW?KOK?c@WIHCGE@MO@[AQ[KOSCMGA?JEADUDEf@U?GVJHUKE\\ALMVAPHV\\AHFDHAXWTIb@HLM@GLEAWEAUe@YOAEMEG?CDJCJIAKTC@CRHBC?MGEQYFD@GTG@DFED\\FFF@LIb@NFEJ@DBFL\\NBFF?C@?BFJRE\\\\NQJLAGHAAFDJNLBFNEIPRHF?HIPBZOf@K@FR?BD@LT@HIJFBHLAPH@HHGDBBCLL@FTDJE@PDFD@TOHTNPVKBBNMR_@T_AHK?GDED]D?F_@AQDEJ_AL_@FE?a@GOFg@MYDKVSB]DEHAPa@NoA?MFI?IHIDUF?DG?QFW^WBG?KDAHQDc@FGDSQUh@CJFHTJFBJD@@DXJFNANW?U[a@cAQCCEG[CEMA@IK]BUO_ABGOc@AUEIBGES@aADET_A?KN[@GHILk@FCVi@?ODCLk@J]Xe@Pk@R[D?FMB@XaAJIJk@`@_@FALa@Ve@PURKFSFEBILCFMR?f@KDG@ICs@@k@M]GEAGQ@QLC?AJIBFGHc@JK@YBIEKBE?IDGBMB[NYHYCUF_@BC@SDG?[HIDM?GIOZQ?GEIAMKMAKi@a@Q]SUEUMCGUKQMIMYWMKWUKKSGS?SMMCK?QGa@GE@CIEBEAGKOE?IIML]@IGAh@ID@CEFCZNHCOWRQKH@ABSCRZBLG?CHBB?LGL@PKJQ@BD?HLJ?FM@GHH[JF@ACCTHFCCFL\\?TDD@JFD@FH@FKVFL\\GRRAFFH?@NZNTXJBDTCJF@HZLCCHJPVL^@FL?ZJTAVIZEJC\\IBUP?PIHUBo@OM@EE?GDFHr@XVV@BPCLTLBF?JHC@LDFJ@RGPSNI\\DNNATTj@', 'resource_state': 2}","[37.644651057198644, -83.71401585638523]","[37.644623816013336, -83.7140057142824]",3.264,11.087,333.2,258.4,1,3.59,29.48,0.49
PMRP : Lode Loop,2342.4,825,849,34.6,Run,8441005412,2023-01-23T21:54:18Z,2023-01-23T16:54:18Z,(GMT-05:00) America/New_York,-18000.0,"{'id': 'a8441005412', 'summary_polyline': 'i|wdFna~}NCBAFDCJ[AEFIXo@Ha@ZeAZu@p@eAX}@T_@Pm@X[N[TWd@u@XQHA@GRK\\MJB@ADE@Q@q@Ee@K[AGIGEAGBGNK?AEBKJSDADI@WBGH}@DQFEH]B[H_@AE@QDC?GAML]@OEKL[?Wa@c@GAEEOY?KQQCQGEKQEAGMEAAEMGCSGKAIQEAGWMCIOAGGCACYOOE??KI?CG?KDMAYCI?OIK@CKECEGAe@LGHGK@KB@D\\CLHLFVFG@@?M`@KCC@K\\G@@{@Bm@Re@CHJCCMD?JFFAHH?EDCJ?NBFED?DEBBFKDG^HBBHEFE@?F@ACB?DDIBDDAJNGBCRDC@GLFH?@EA`@B?@BJDPELJDN?HDBF@?DBA@JHBFA\\PFLHHDNNHHPj@t@BJTJJLHTBTObAYp@QJa@BMFYCGKADE??BNVDNFNPRDHHDDJD@@FF@@DJHDJLFHA@CPCLGFKBUJHLRFnADZCNCFE@GC[Hi@d@SVUh@QXs@x@kAbCW`@e@lA]rAYv@k@lACJ', 'resource_state': 2}","[37.64693470671773, -83.71752007864416]","[37.64696127735078, -83.71762493625283]",2.839,11.187,293.2,262.9,0,1.46,13.75,0.23
PMRP : Chocolate Factory Loop and Unlode Loop,6676.6,2707,2826,231.8,Run,7952654943,2022-10-12T15:25:40Z,2022-10-12T11:25:40Z,(GMT-05:00) America/New_York,-14400.0,"{'id': 'a7952654943', 'summary_polyline': 'sjwdFt`}}NJ@HGRi@HYj@WR[TGf@TDHJ?BEC]@c@FQX@FI@KTKT@LS`@DNO?`@Gn@K@SR@FC?ITMB?DULA^RLDLCSC?BGX@LGDQPSTc@\\MXO^BFONIXBPGZLNMl@HPOl@?XZLXSANAASDAIGIJ@O_@_@DOM@HId@G@GJDTIL@@JFRECGi@GMDYD@I@JGJRVILKOUFFAKFAMlA_@H@JW_@SEXMG[@GECVk@FCBFEDH@@NIPOFBHGN?NXv@LNBP@EAGU\\OS@FE@_BQKPUDGK@KHAOHRHxAGJPRMCJAEQ?EH?JI[KJD@AICHCCLLK?DO@T@OCIDDBGUCSDMIWPOGyBD]LUVSDQGa@NAHE@GRQPe@X_@?INE?LQFa@^m@f@mAEYDIG]DA@MH?CQHGHOQM?SCMMGG_@G?Gg@BCBs@K]@[CSBA?HBDj@b@DLJBAFCAJKF_@MY?Q@ICIHEAIFSFGRCC@KUAIDIE@BHANHXCCCHKBKEY`@JVB\\Pf@Bj@FLKZBDE^LP?LW@@t@KHHFGPMF@JO@CFAFLXANYAa@D_@Jq@XMTVf@?LEDe@@QUWEID?HG?[b@MBOLCLBPQFGNBDODSAEL@VDDEX@JKd@?TMJ?JIR?PSRGXa@l@On@MDBKDJOQRLDj@ENUDDIF?dAt@H\\RDTHZVDEF@JVXXAHDLc@ICDi@Pd@AZN@PGLNXAHBJK@?JGBPOGI@EDDECDCOeASMk@BJ?\\Y^GIIQa@sAk@i@q@[CGOQB@OCKCDa@Be@`@kAzBs@t@OKEXE??Bi@Lq@FQEe@JIF]?a@HWSOCG[S]KIc@EI]EE@QOSW??Gg@GOc@OGAOIEBe@EQJI@IGMO?Bk@KYOIAWBa@G_@KQEk@YYCQDAIAAJJSBi@G]@yAMACSWe@CUOIEMe@QSMEKKFIGAFJADRTGd@VJ@Rf@NFJV?PHPTLFA?PQx@OMOFESKKOJMb@S@WYIPGCIFWBCDHBCHHPCNTRBG_@VWU?DJ@JWLAIFDYEADQb@X[TDHMTAHLHJCFVNCJPFABFRGTPTAFRTPNr@NJAXJJDEVBFX?PE\\KNBD?NON[ESNU@e@M]?CGSFGJEAUJOWE@ANUTAHCA@LEID]E@HNMBCE?[DIC?CLUTBLATd@^b@J?D^RL@ZCLI^PJCNHNAHJb@Ff@A`@MVZJAZj@RLDHl@XFEf@FF]XKl@NhAW', 'resource_state': 2}","[37.644663378596306, -83.71371796354651]","[37.64479405246675, -83.71406673453748]",2.466,9.297,321.2,265.0,0,4.15,45.12,0.75
