name,distance,moving_time,elapsed_time,total_elevation_gain,type,id,start_date,start_date_local,timezone,utc_offset,map,start_latlng,end_latlng,average_speed,max_speed,elev_high,elev_low,pr_count,distance_miles,moving_time_minutes,moving_time_hours
PMRP : Lode Loop and Drive By Loop,5532.4,1884,1967,124.0,Run,9458318004,2023-07-15T21:24:26Z,2023-07-15T17:24:26Z,(GMT-05:00) America/New_York,-14400.0,"{'id': 'a9458318004', 'summary_polyline': 'aowdFvk}}N@KAEB?L_@Gg@CEOGEDI@ABE?MPAB@FCGFG@MNQLaA?ODk@JKHUDi@Bi@J]CM@_@PYLEBYGI@GU]YKIK?GE?CE@MKMKGI_@ICSY@MMC?EQQAKOCIKIAWa@?EMKGCOk@IG@ICEBEAk@SBAAB@?IGIECEMUCIKKCCIMIGb@GC?XIAA@?NGHFBk@MlAJwAf@d@JBCFB?JCBBBUDJTGDB??@KVB@ED@BCX@FANFGDDK@@BGACVBDAGHBLN@LNVHFAGF\\\\QDB@CB@DHAPDHDADFD?ZLAF@FLDDRJDVX@XRN@FRDJLF?FFLBBLHF?FHPI^?HCRILETQPG@INGDKEUBIIYGOZ@NFLFDDFLFBHDBGXNJLAHNLJ@DLHf@BRMNAHSX?DLAbABN?V@HOP[BACs@d@ORSLQj@o@n@_@d@GVOLG^GHUp@KNUd@M^MXYx@Eh@OTKXMR@HSXMZMl@EHUfB@RARZp@@NHXEDFR@TP^HZBz@GZ?FQT]~@EBMT@HCPGAIHGPOLCv@IX?Tq@tA?VIVA\\ER?`@S~@EH?RCTSfACD?JEF?DY`@AJYh@GHMDARGPAJd@ZAXGLOd@Y\\MDCDQBQCSRI^?RDPTEHn@@D@AABBEBA?DCCBEBFEMKCBAAICIC??GC?D?EABA?F@CEAB?ADB?A@@?ADB@?DaFw@@Gu@JGBECOBOEE@IC?EE?SF]GAI[DKBAESLEAs@b@]GWMG?GKASIQAKKIDGG?QOGMYMDKEEY@KEEMO@ACg@KMKIKEBEIG?EIBOGIGBECAHGAGQQIDQHI?GIOGGDCJR?JD?CDRKA?TSfA?DHJ?d@IBEPEZFRKTAHIBKDEECDG?GGMEEHQEA@GECSC?DEEUCJQJTF@DM@WDKMWAKBCA??BF?@FPDHLBHAFLBLKVFNRBHFCLFL?RJR?RDBFJHFAJHLADBFNP@DHJBVIFFBAHGb@BPCD@?HJCDDFARFJFT@BFHHFDFAV\\FEV@h@b@XBDHF@d@]B@DC\\m@b@aBHq@b@uB?QDCA]FKJkAh@gADOH{@BELc@LWRQ@K`@w@D[Rc@BSBa@FID?XRPZHDRVN?@WCGg@GEIGCQQ?ESIOUGM?MOQGa@?WEI@GGUU}@Ce@Hg@CIDCd@uBFKl@uAB[h@}AFGNe@Ve@LM@KLYBMLSJYBE@KT]F?BCN_@NGHMDOJEJU\\]FANWTMf@EJS', 'resource_state': 2}","[37.644814336672425, -83.71403069235384]","[37.64471283182502, -83.71428340673447]",2.936,10.748,338.3,259.0,0,3.44,31.4,0.52
PMRP : Sore Heel Loop and Drive By Loop,8973.2,2836,2882,368.6,Run,9159069458,2023-05-28T18:17:37Z,2023-05-28T14:17:37Z,(GMT-05:00) America/New_York,-14400.0,"{'id': 'a9159069458', 'summary_polyline': '{mwdFhl}}NEXUXo@?[^YPKCQt@eBvBeA|CY^Y|@GCQfAMDCZ]d@Ot@YZQhAMNm@WQcA[IWc@SBe@p@iAYg@Va@MBJEG_@RQe@_@YS?CTG?Ea@ICIY?NQAUk@i@G{@u@WHQOi@Ek@q@Ca@M@_@_@?k@WWSg@OgAMGKiAF[i@aBFWCQJQI?CSDI?SGKLDUi@KCI_@Bc@EAF}@JKCMBi@WKAq@FKI}@SIUUBQSSHc@IQBk@Ki@FYAiBII?HEOQXK@C]M?FINAJPY}@@OqAb@Gj@q@x@a@LYNBZDACVNGt@^AJLIc@FPCLRJx@MXJJP|@MfASZk@VQ^a@DSVAZT`@?TWx@C^DNtAKz@h@GLFf@GNGAFd@KFHXZBVTFd@Qr@H^PX`AZLNHh@RDMHYSODeAbA?Ku@e@o@Eg@XFf@MVOOEFYK[JCMPa@QFIKKJ_@QCBLJUl@OCo@XESHXBYPTPl@WUPNERFNQtAv@fASZHBBOLCMeABQl@PFLJMtBYBNRPd@MNYV@VXT@z@Yx@GBK`AT\\VlA_@Zb@RDr@xAHd@?TWRcAJAl@IRDVTCh@Pf@`@|@Q^B\\Xf@M|@d@r@?\\MVHvA]f@Y\\LLf@Dx@M`BiAM}@Vc@?]T]BIKOVIf@xA?fCf@xAABG`@Fn@OVc@JUN}BTSLLRt@G`Aa@n@Mn@Wd@e@VIrB_ApBCxAKLCf@OTK~AINo@pCu@`@Aj@f@PJGA`@_@x@u@p@a@MDCMJAVKC?l@N@V|AHDIKBE]GoAsAD@_@FQMw@Oe@CYLKKe@ZUQk@Jk@SOH_@?y@b@I?[GMIu@cBc@YO_@cALW[QJIGIm@K?F[AOMCDUMCCSIAYkAr@h@BG?HXXULBKHFIHb@YNVjA_@`@Fv@I\\u@LG?OTCMm@D]_@QCQk@nABHMd@Ec@UlAnAeCKQB[HDGXZLAFFId@@\\b@JI`@Xd@HTVz@A\\LHTLAFKz@ATTl@Dp@d@jA\\BHJEd@d@r@c@BQZ_@Jw@P[PqBTWLyBN_@@m@`@cANgAl@aAJc@TMh@eBB{@TN\\n@p@^LCIc@y@MWa@@SY@[g@GsAYaAQwA`@uB~@sBn@eCN[n@eAZsApAwAfAsBn@a@bAWH[', 'resource_state': 2}","[37.64462482184172, -83.71412750333548]","[37.64463094063103, -83.7141434289515]",3.164,16.328,349.9,259.0,0,5.58,47.27,0.79
PMRP : Drive By Loop and Lode Loop,5774.7,1769,1827,131.6,Run,8973585450,2023-04-28T18:23:12Z,2023-04-28T14:23:12Z,(GMT-05:00) America/New_York,-14400.0,"{'id': 'a8973585450', 'summary_polyline': 'anwdFrk}}N?LQh@?CILa@FWf@IAGJkAbAEN?LCFMDCFORCPSFELMFGLEDKXI@CPWr@GZKNKb@ONGZIN@TIL@JKNETQPCN?NGRIRKH[r@Kl@?^VbBFPB\\N`@Hj@Df@@p@CZ[`@ANMRANGR@NG@GLKCG?ENDRY\\KfASf@OTQh@APBD@p@GL[nBOh@EBBFCb@K^KJ?^GNCZSP@L]BMP]fB[v@Wd@APIR?TNHBNAHLf@ACAD@IC@B?@DAABBDb@DD{AcGOIS@c@\\KGI?SJWj@m@v@SH]?c@I_@@MC_@A_@FSICHIAUF@BMFa@B_@KKUME@GCCG@CGKG?MUSCG@GGCAGICEBGIQIW?KOK?c@WIHCGE@MO@[AQ[KOSCMGA?JEADUDEf@U?GVJHUKE\\ALMVAPHV\\AHFDHAXWTIb@HLM@GLEAWEAUe@YOAEMEG?CDJCJIAKTC@CRHBC?MGEQYFD@GTG@DFED\\FFF@LIb@NFEJ@DBFL\\NBFF?C@?BFJRE\\\\NQJLAGHAAFDJNLBFNEIPRHF?HIPBZOf@K@FR?BD@LT@HIJFBHLAPH@HHGDBBCLL@FTDJE@PDFD@TOHTNPVKBBNMR_@T_AHK?GDED]D?F_@AQDEJ_AL_@FE?a@GOFg@MYDKVSB]DEHAPa@NoA?MFI?IHIDUF?DG?QFW^WBG?KDAHQDc@FGDSQUh@CJFHTJFBJD@@DXJFNANW?U[a@cAQCCEG[CEMA@IK]BUO_ABGOc@AUEIBGES@aADET_A?KN[@GHILk@FCVi@?ODCLk@J]Xe@Pk@R[D?FMB@XaAJIJk@`@_@FALa@Ve@PURKFSFEBILCFMR?f@KDG@ICs@@k@M]GEAGQ@QLC?AJIBFGHc@JK@YBIEKBE?IDGBMB[NYHYCUF_@BC@SDG?[HIDM?GIOZQ?GEIAMKMAKi@a@Q]SUEUMCGUKQMIMYWMKWUKKSGS?SMMCK?QGa@GE@CIEBEAGKOE?IIML]@IGAh@ID@CEFCZNHCOWRQKH@ABSCRZBLG?CHBB?LGL@PKJQ@BD?HLJ?FM@GHH[JF@ACCTHFCCFL\\?TDD@JFD@FH@FKVFL\\GRRAFFH?@NZNTXJBDTCJF@HZLCCHJPVL^@FL?ZJTAVIZEJC\\IBUP?PIHUBo@OM@EE?GDFHr@XVV@BPCLTLBF?JHC@LDFJ@RGPSNI\\DNNATTj@', 'resource_state': 2}","[37.644651057198644, -83.71401585638523]","[37.644623816013336, -83.7140057142824]",3.264,11.087,333.2,258.4,1,3.59,29.48,0.49
