time,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres
2023-04-25,49.1,35.6,62.6,0.0,,50.0,2.3,1021.5
2023-04-26,56.48,44.6,69.8,0.0,,347.0,2.8,1019.6
2023-04-27,56.84,46.94,69.8,9.6,,77.0,3.48,1014.8
2023-04-28,60.26,55.4,69.8,23.0,,264.0,3.79,1007.1
2023-04-29,58.82,48.2,68.0,0.0,,307.0,2.67,1007.6
2023-04-30,53.24,42.8,60.08,4.0,,297.0,5.34,999.9
2023-05-01,49.1,44.06,53.96,0.6,,253.0,7.02,1000.5
2023-05-02,53.06,46.04,62.06,0.0,,260.0,7.02,1003.3
2023-05-03,50.36,44.06,59.0,0.1,,297.0,7.08,1009.0
2023-05-04,54.5,39.2,66.92,0.0,,313.0,3.85,1016.3
2023-05-05,61.34,46.94,75.02,0.0,,58.0,2.92,1019.8
2023-05-06,66.56,53.06,78.98,0.0,,257.0,2.8,1021.4
2023-05-07,63.68,60.08,66.2,0.6,,261.0,3.11,1017.4
2023-05-08,64.76,57.02,73.94,3.0,,287.0,2.73,1015.0
2023-05-09,66.2,62.06,73.94,12.9,,317.0,3.54,1015.9
2023-05-10,64.94,51.8,78.08,0.0,,20.0,1.99,1020.1
2023-05-11,68.36,57.92,80.6,0.7,,348.0,2.67,1019.6
2023-05-12,69.8,64.94,77.0,11.2,,201.0,3.91,1019.3
2023-05-13,71.42,64.94,80.06,5.0,,320.0,2.67,1019.2
2023-05-14,69.44,62.6,77.0,0.0,,13.0,1.8,1022.1
2023-05-15,65.3,59.0,73.4,0.0,,21.0,1.93,1021.7
2023-05-16,65.3,60.08,75.92,16.0,,318.0,3.36,1012.2
2023-05-17,62.96,53.6,73.94,0.0,,341.0,2.73,1012.0
2023-05-18,64.58,51.08,77.0,0.0,,36.0,2.55,1016.7
2023-05-19,68.72,59.0,78.08,0.6,,197.0,3.11,1018.5
2023-05-20,63.86,57.2,68.0,23.8,,343.0,2.42,1017.1
2023-05-21,61.16,50.0,71.96,0.0,,11.0,1.49,1020.2
2023-05-22,65.66,55.4,77.0,0.0,,18.0,1.8,1019.4
2023-05-23,68.36,59.0,77.0,0.0,,52.0,2.42,1019.6
2023-05-24,66.74,55.94,78.08,0.0,,20.0,1.74,1018.0
2023-05-25,64.76,55.94,73.94,0.0,,8.0,1.93,1017.8
2023-05-26,63.5,51.8,73.94,0.0,,24.0,2.61,1020.5
2023-05-27,62.24,55.94,69.08,0.0,,45.0,2.67,1021.9
2023-05-28,53.42,51.8,55.94,20.3,,18.0,1.68,1018.8
2023-05-29,61.34,53.06,71.6,0.6,,2.0,1.8,1015.0
2023-05-30,68.72,57.02,82.04,0.2,,30.0,1.68,1016.0
2023-05-31,71.6,62.06,80.6,0.0,,68.0,2.8,1017.5
2023-06-01,73.58,62.6,82.94,0.0,,38.0,2.05,1017.2
2023-06-02,75.2,64.4,84.92,0.0,,12.0,1.49,1014.7
2023-06-03,75.02,60.08,87.08,0.0,,23.0,2.17,1012.4
2023-06-04,73.04,60.8,84.92,0.0,,14.0,1.55,1012.7
2023-06-05,72.5,64.94,80.6,0.0,,10.0,1.8,1013.9
2023-06-06,67.82,55.94,78.98,0.0,,353.0,1.93,1013.0
2023-06-07,63.68,60.08,69.08,10.1,,338.0,2.67,1009.3
2023-06-08,62.96,51.08,73.04,0.0,,0.0,1.62,1010.0
2023-06-09,64.4,50.0,75.92,0.0,,333.0,2.61,1011.9
2023-06-10,68.54,55.04,80.06,0.0,,335.0,2.05,1012.1
2023-06-11,66.38,60.08,77.0,15.7,,166.0,4.78,1007.8
2023-06-12,64.04,57.92,71.96,15.5,,287.0,4.66,1008.1
2023-06-13,63.14,51.08,73.94,0.0,,275.0,4.04,1010.2
2023-06-14,68.18,60.98,78.08,0.0,,258.0,5.47,1005.7
2023-06-15,70.88,62.06,80.6,0.1,,312.0,2.67,1007.6
2023-06-16,69.62,62.96,77.0,0.0,,305.0,4.66,1009.4
2023-06-17,66.38,55.4,75.92,0.0,,4.0,2.17,1014.0
2023-06-18,70.34,57.2,80.96,0.0,,48.0,1.8,1012.2
2023-06-19,70.88,66.02,77.0,38.0,,122.0,3.54,1009.3
2023-06-20,71.24,66.02,78.08,10.3,,37.0,3.42,1011.7
2023-06-21,68.36,62.06,73.94,0.2,,49.0,4.41,1015.1
2023-06-22,63.5,60.08,69.08,6.5,,28.0,3.11,1014.1
2023-06-23,67.46,64.04,73.04,2.0,,320.0,2.17,1013.9
2023-06-24,72.32,64.4,82.4,0.8,,326.0,1.99,1014.5
2023-06-25,72.5,66.02,80.96,0.2,,275.0,3.04,1012.0
2023-06-26,72.86,64.04,80.96,8.2,,252.0,6.03,1007.9
2023-06-27,69.98,62.96,77.0,1.3,,319.0,3.6,1010.4
2023-06-28,71.6,64.04,80.06,0.0,,6.0,1.49,1015.5
2023-06-29,73.04,62.96,84.2,0.0,,163.0,3.6,1016.9
2023-06-30,74.12,66.2,82.04,0.6,,295.0,2.8,1016.5
2023-07-01,72.14,68.0,78.8,0.0,,250.0,3.67,1016.0
2023-07-02,73.4,66.02,86.0,5.2,,223.0,4.04,1013.2
2023-07-03,74.12,66.2,84.02,3.2,,243.0,4.72,1013.7
2023-07-04,76.28,68.0,84.92,0.0,,329.0,1.74,1017.1
2023-07-05,78.26,71.06,86.0,0.0,,201.0,2.3,1017.3
2023-07-06,73.58,66.02,86.0,0.8,,267.0,3.04,1014.8
2023-07-07,74.48,68.0,84.2,0.0,,346.0,2.11,1014.3
2023-07-08,73.04,66.2,82.4,0.2,,346.0,1.93,1012.2
2023-07-09,71.78,68.0,77.0,9.3,,331.0,2.73,1012.0
2023-07-10,72.68,62.96,80.96,0.0,,5.0,1.18,1014.5
2023-07-11,73.76,62.96,82.94,0.0,,345.0,1.43,1016.2
2023-07-12,75.02,64.94,84.2,0.0,,327.0,2.11,1015.6
2023-07-13,79.16,71.6,86.0,4.3,,265.0,3.29,1012.4
2023-07-14,80.6,71.96,89.96,0.3,,318.0,3.29,1013.0
2023-07-15,75.2,71.06,82.4,4.4,,291.0,2.49,1011.9
2023-07-16,74.66,68.0,82.94,0.4,,316.0,2.36,1014.3
2023-07-17,74.84,66.2,82.4,3.5,,291.0,2.55,1016.0
2023-07-18,71.78,62.96,84.2,14.4,,240.0,3.79,1017.0
2023-07-19,72.14,66.2,80.06,5.8,,344.0,1.43,1018.8
2023-07-20,74.3,69.08,80.96,6.4,,223.0,3.79,1016.1
2023-07-21,75.02,69.98,82.94,2.5,,320.0,3.91,1013.4
2023-07-22,72.5,64.94,80.06,1.2,,3.0,0.99,1012.8
2023-07-23,73.94,64.4,82.94,0.0,,329.0,1.86,1015.4
2023-07-24,74.84,64.94,84.2,0.1,,303.0,2.73,1019.4
2023-07-25,75.56,64.4,89.96,0.0,,263.0,4.47,1019.7
2023-07-26,81.5,67.82,96.98,0.3,,209.0,6.77,1017.2
