TMIN
46.0
50.0
26.0
19.0
23.0
27.0
11.0
9.0
13.0
20.0
16.0
19.0
35.0
31.0
30.0
27.0
23.0
23.0
26.0
21.0
15.0
7.0
16.0
19.0
19.0
14.0
8.0
16.0
7.0
10.0
23.0
28.0
31.0
41.0
24.0
18.0
17.0
22.0
20.0
26.0
36.0
30.0
38.0
24.0
19.0
22.0
29.0
47.0
28.0
23.0
18.0
32.0
44.0
37.0
30.0
31.0
28.0
28.0
27.0
34.0
42.0
51.0
32.0
43.0
59.0
54.0
34.0
36.0
35.0
32.0
18.0
13.0
22.0
41.0
43.0
46.0
50.0
51.0
39.0
37.0
46.0
53.0
46.0
36.0
33.0
27.0
23.0
28.0
32.0
51.0
35.0
31.0
37.0
38.0
41.0
49.0
45.0
38.0
33.0
28.0
41.0
53.0
56.0
46.0
36.0
51.0
39.0
40.0
31.0
46.0
56.0
62.0
63.0
64.0
46.0
38.0
44.0
48.0
55.0
58.0
48.0
57.0
56.0
52.0
58.0
52.0
49.0
48.0
54.0
57.0
52.0
59.0
58.0
58.0
59.0
50.0
55.0
59.0
64.0
67.0
64.0
54.0
53.0
57.0
64.0
58.0
58.0
55.0
60.0
64.0
64.0
66.0
58.0
51.0
54.0
61.0
65.0
65.0
58.0
52.0
58.0
61.0
70.0
75.0
72.0
73.0
73.0
48.0
0.0
52.0
52.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
56.0
62.0
68.0
68.0
67.0
66.0
71.0
68.0
67.0
71.0
70.0
67.0
63.0
67.0
67.0
62.0
63.0
68.0
69.0
68.0
68.0
67.0
71.0
65.0
0.0
0.0
72.0
71.0
71.0
69.0
68.0
62.0
67.0
69.0
67.0
0.0
0.0
68.0
66.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
60.0
65.0
68.0
67.0
60.0
60.0
61.0
64.0
63.0
66.0
68.0
67.0
58.0
57.0
61.0
69.0
68.0
68.0
66.0
65.0
57.0
61.0
64.0
65.0
61.0
51.0
53.0
54.0
55.0
58.0
57.0
59.0
62.0
61.0
67.0
45.0
52.0
54.0
51.0
41.0
39.0
45.0
44.0
46.0
51.0
50.0
38.0
38.0
42.0
47.0
35.0
30.0
34.0
40.0
47.0
54.0
33.0
48.0
46.0
43.0
31.0
31.0
30.0
33.0
42.0
45.0
43.0
48.0
40.0
38.0
42.0
44.0
49.0
54.0
55.0
48.0
44.0
45.0
51.0
60.0
62.0
47.0
46.0
47.0
55.0
41.0
30.0
28.0
33.0
35.0
24.0
21.0
17.0
21.0
17.0
24.0
29.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
44.0
32.0
28.0
26.0
19.0
27.0
27.0
32.0
-6.0
-5.0
4.0
10.0
17.0
25.0
33.0
46.0
50.0
43.0
44.0
49.0
54.0
33.0
29.0
29.0
35.0
34.0
26.0
35.0
42.0
32.0
27.0
19.0
25.0
31.0
40.0
42.0
37.0
31.0
32.0
31.0
24.0
32.0
32.0
26.0
31.0
39.0
40.0
30.0
23.0
25.0
24.0
15.0
22.0
34.0
37.0
48.0
42.0
41.0
29.0
33.0
27.0
33.0
33.0
54.0
32.0
22.0
31.0
44.0
42.0
46.0
55.0
38.0
34.0
37.0
41.0
49.0
41.0
51.0
44.0
40.0
0.0
42.0
0.0
0.0
32.0
42.0
34.0
32.0
33.0
27.0
20.0
27.0
36.0
25.0
19.0
16.0
23.0
36.0
43.0
56.0
56.0
40.0
46.0
36.0
30.0
36.0
42.0
48.0
39.0
52.0
60.0
48.0
43.0
41.0
40.0
40.0
41.0
45.0
49.0
55.0
51.0
57.0
43.0
39.0
46.0
52.0
59.0
45.0
37.0
30.0
31.0
37.0
46.0
55.0
46.0
51.0
41.0
42.0
43.0
35.0
43.0
43.0
57.0
54.0
59.0
49.0
55.0
55.0
63.0
61.0
58.0
58.0
54.0
50.0
55.0
62.0
50.0
50.0
56.0
54.0
54.0
51.0
54.0
51.0
51.0
57.0
57.0
60.0
59.0
57.0
60.0
64.0
53.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
